Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0351,C39,MITRE ATT&CK,Navigating Cyber Resiliency,https://www.youtube.com/watch?v=3DM2FsBSJjY,transcripts/C39_MITRE_ATTCK/V0351.txt,0,,0,,5,Initial_Access,Windows,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
V0345,C39,MITRE ATT&CK,China and Russia: Strategic Dynamics,https://www.youtube.com/watch?v=bJVoN9xeUUY,transcripts/C39_MITRE_ATTCK/V0345.txt,2,"Play, Qilin",0,,11,Execution,,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0168,C18,Malware Analysis for Hedgehogs,"Malware Analysis - Virut, Unpacking a Polymorphic File Infector, Part I",https://www.youtube.com/watch?v=250Bxe0qlQY,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0168.txt,0,,0,,7,Impact,Windows,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0
V0163,C18,Malware Analysis for Hedgehogs,"Malware Analysis - RenPy game, finding malware code in 2956 files, Beginner friendly",https://www.youtube.com/watch?v=Fmfg0F1e2tM,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0163.txt,0,,0,,10,Execution,Windows,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
V0167,C18,Malware Analysis for Hedgehogs,"Malware Analysis - Virut's NTDLL Hooking and Process Infection, Part 2",https://www.youtube.com/watch?v=nuxnvjGgUQQ,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0167.txt,0,,0,,17,Execution,Windows,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
V0166,C18,Malware Analysis for Hedgehogs,"Malware Analysis - Virut's file infection, part 3",https://www.youtube.com/watch?v=FcXPSpBh4ps,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0166.txt,0,,0,,27,Execution,Windows,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0
V0169,C18,Malware Analysis for Hedgehogs,Malware Analysis - Unpacking Lumma Stealer from Emmenhtal and Pure Crypter,https://www.youtube.com/watch?v=aenOHAryDPc,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0169.txt,0,,0,,27,Privilege_Escalation,Windows,0,8,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
V0165,C18,Malware Analysis for Hedgehogs,Malware Theory - What breakpoints to set for unpacking,https://www.youtube.com/watch?v=fn8rAm9u4rc,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0165.txt,0,,0,,0,,Windows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
V0170,C18,Malware Analysis for Hedgehogs,Antivirus myths and how AVs actually work,https://www.youtube.com/watch?v=4DolQTKGT9U,transcripts/C18_Malware_Analysis_for_Hedgehogs/V0170.txt,0,,0,,1,Impact,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V0039,C04,DEF CON Conference,DEF CON 33 -Voting Village - Protecting Election Researchers Globally - Miracle Owolabi,https://www.youtube.com/watch?v=5qmpv44knF8,transcripts/C04_DEF_CON_Conference/V0039.txt,1,Play,0,,12,Initial_Access,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
